epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,403.191,0.78776,0.56741,1.10474,0.99755,0.94205,0.97711,0.84063,0.66229,0.43926,0.90729,0.000396262,0.000396262,0.000396262
75,409.546,0.71231,0.50724,1.04995,0.98655,0.95992,0.98317,0.87716,0.51883,0.39483,0.87051,0.000382115,0.000382115,0.000382115
76,414.174,0.73798,0.53734,1.10291,0.99734,0.94102,0.97839,0.86902,0.51975,0.39872,0.87365,0.000367967,0.000367967,0.000367967
77,420.885,0.70866,0.53091,1.05294,0.99784,0.93661,0.9667,0.84741,0.55699,0.43046,0.88298,0.00035382,0.00035382,0.00035382
78,431.172,0.80066,0.59986,1.13214,0.99706,0.93185,0.95965,0.86658,0.47713,0.42496,0.85794,0.000339673,0.000339673,0.000339673
79,437.281,0.73566,0.51069,1.07498,0.99878,0.93392,0.96059,0.89082,0.4184,0.41635,0.84348,0.000325526,0.000325526,0.000325526
80,448.612,0.7889,0.56577,1.10197,0.99826,0.93449,0.9586,0.84591,0.53793,0.43194,0.87032,0.000311379,0.000311379,0.000311379
81,460.965,0.72492,0.5322,1.07533,0.99825,0.93486,0.95952,0.82848,0.62784,0.44051,0.89234,0.000297232,0.000297232,0.000297232
82,470.045,0.7736,0.53079,1.09016,0.99763,0.93444,0.96708,0.86214,0.51173,0.41304,0.86289,0.000283085,0.000283085,0.000283085
83,481.125,0.72704,0.50936,1.07332,0.97719,0.92656,0.96602,0.88134,0.4577,0.41858,0.85221,0.000268938,0.000268938,0.000268938
84,488.337,0.7389,0.51008,1.06348,0.9835,0.92173,0.9591,0.86987,0.48257,0.42815,0.86108,0.000254791,0.000254791,0.000254791
85,494.415,0.7348,0.51425,1.06499,0.99798,0.94215,0.96452,0.86711,0.50282,0.40438,0.86738,0.000240644,0.000240644,0.000240644
86,501.734,0.69931,0.4982,1.04289,0.99856,0.94266,0.96751,0.866,0.49738,0.39414,0.86561,0.000226497,0.000226497,0.000226497
87,513.98,0.7227,0.5314,1.07817,0.99858,0.94256,0.96975,0.88136,0.45451,0.38409,0.85412,0.000212349,0.000212349,0.000212349
88,524.663,0.70045,0.52627,1.07698,0.99802,0.943,0.96984,0.89956,0.40996,0.37825,0.84363,0.000198202,0.000198202,0.000198202
89,536.332,0.72971,0.51298,1.08115,0.99781,0.94392,0.96921,0.90951,0.39937,0.37941,0.84106,0.000184055,0.000184055,0.000184055
90,545.547,0.72802,0.50932,1.08181,0.99719,0.94478,0.96494,0.89096,0.43101,0.39166,0.84798,0.000169908,0.000169908,0.000169908
91,562.567,0.65899,0.44352,1.02476,0.99665,0.9451,0.96606,0.88512,0.44879,0.38801,0.85197,0.000155761,0.000155761,0.000155761
92,565.643,0.70388,0.48285,1.06004,0.99639,0.94375,0.95639,0.87137,0.4595,0.40193,0.85549,0.000141614,0.000141614,0.000141614
93,569.776,0.63493,0.45644,1.004,0.99711,0.9429,0.9545,0.87835,0.43921,0.4029,0.84955,0.000127467,0.000127467,0.000127467
94,572.308,0.613,0.43558,1.00925,0.99757,0.94248,0.95062,0.89227,0.37992,0.39854,0.83748,0.00011332,0.00011332,0.00011332
95,574.441,0.63707,0.44923,1.02,0.9976,0.94285,0.95015,0.90134,0.35784,0.39494,0.8333,9.91726e-05,9.91726e-05,9.91726e-05
96,577.155,0.62847,0.43662,1.04101,0.99678,0.94369,0.94983,0.90475,0.34754,0.39327,0.83135,8.50255e-05,8.50255e-05,8.50255e-05
97,581.353,0.60436,0.40738,1.00834,0.99699,0.94437,0.94993,0.89918,0.35477,0.3915,0.83289,7.08784e-05,7.08784e-05,7.08784e-05
98,584.496,0.63439,0.42628,1.04633,0.99783,0.94322,0.95032,0.8942,0.36564,0.39149,0.83484,5.67313e-05,5.67313e-05,5.67313e-05
99,587.534,0.65606,0.43529,1.03663,0.99786,0.94291,0.95036,0.89159,0.37865,0.39565,0.83827,4.25842e-05,4.25842e-05,4.25842e-05
100,590.337,0.60215,0.43682,0.98904,0.9978,0.94246,0.95057,0.89194,0.38562,0.39553,0.84013,2.84371e-05,2.84371e-05,2.84371e-05
