epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.96644,1.15857,3.11131,1.39174,0.01653,0.9447,0.33615,0.2282,0.9967,3.04787,0.95667,0.00012861,0.00012861,0.00012861
2,6.88571,0.99032,2.27885,1.22496,0.01623,0.97307,0.3612,0.25132,1.0327,2.71604,0.99338,0.000268822,0.000268822,0.000268822
3,8.91399,0.97993,1.86044,1.2179,0.01631,0.98017,0.45709,0.33377,0.91275,2.57086,0.90859,0.000406205,0.000406205,0.000406205
4,10.6471,1.00693,1.49219,1.25569,0.93106,0.49489,0.73171,0.50111,1.09163,2.2506,1.0249,0.000540758,0.000540758,0.000540758
5,12.5162,1.07979,1.29032,1.28603,0.86199,0.55908,0.80444,0.44317,1.3644,2.01448,1.16004,0.000672482,0.000672482,0.000672482
6,15.0872,1.05849,1.17502,1.25928,0.54656,0.47401,0.48629,0.33271,0.90643,2.18474,0.98532,0.000801376,0.000801376,0.000801376
7,17.2466,1.0293,1.20378,1.26368,0.78768,0.66636,0.81346,0.51595,1.13604,1.83932,1.08734,0.000927441,0.000927441,0.000927441
8,19.1331,1.0984,1.18077,1.30467,0.77364,0.50106,0.77815,0.53436,1.03649,1.92769,1.03565,0.00105068,0.00105068,0.00105068
9,21.2231,0.95799,1.04101,1.18095,0.84792,0.73581,0.89764,0.6673,0.96449,1.53627,1.0162,0.00117108,0.00117108,0.00117108
10,23.1181,1.06821,1.12298,1.26613,0.89175,0.90327,0.95897,0.69448,1.00827,1.19315,1.03765,0.00128866,0.00128866,0.00128866
11,25.9602,1.02066,1.0406,1.2387,0.88046,0.90503,0.94714,0.683,0.99324,1.05349,1.05978,0.00128753,0.00128753,0.00128753
12,28.8279,0.97469,0.98432,1.19601,0.97505,0.96528,0.99204,0.7327,0.95166,0.92399,1.08934,0.00127338,0.00127338,0.00127338
13,33.1519,1.06837,1.0471,1.29409,0.8774,0.93188,0.97196,0.67046,1.08408,1.10622,1.11952,0.00125923,0.00125923,0.00125923
14,37.076,1.05904,1.03048,1.27576,0.95549,0.96314,0.9899,0.72408,1.01744,0.8313,1.07665,0.00124509,0.00124509,0.00124509
15,39.1568,0.96107,0.91899,1.17699,0.9685,0.96742,0.99084,0.73165,0.98142,0.75795,1.042,0.00123094,0.00123094,0.00123094
16,42.8683,1.00313,1.00835,1.2483,0.92646,0.91545,0.96823,0.69898,1.03771,0.91154,1.06853,0.00121679,0.00121679,0.00121679
17,45.4147,0.97895,0.90255,1.18723,0.97387,0.87925,0.96811,0.7327,0.91235,0.8129,1.03967,0.00120265,0.00120265,0.00120265
18,48.2541,1.02634,0.89938,1.18866,0.95359,0.84976,0.9684,0.67451,1.11354,0.87278,1.11151,0.0011885,0.0011885,0.0011885
19,51.4623,0.93008,0.87774,1.20526,0.94089,0.96857,0.98745,0.80064,0.77072,0.64585,0.96632,0.00117435,0.00117435,0.00117435
20,54.0289,0.98709,0.90978,1.24107,1,0.97028,0.98533,0.73722,0.94036,0.62416,1.02649,0.00116021,0.00116021,0.00116021
21,57.5965,0.92463,0.88056,1.18412,0.97751,0.98428,0.98519,0.81601,0.67347,0.55386,0.9318,0.00114606,0.00114606,0.00114606
22,59.7063,0.92867,0.83237,1.18772,0.98191,0.96997,0.9871,0.72556,0.9633,0.62366,1.01894,0.00113191,0.00113191,0.00113191
23,61.8933,0.95755,0.88018,1.22111,0.98079,0.9661,0.98646,0.8031,0.80165,0.59215,0.95767,0.00111776,0.00111776,0.00111776
24,64.505,1.01509,0.91432,1.28543,0.95076,0.97033,0.98272,0.78313,0.82675,0.6226,0.9708,0.00110362,0.00110362,0.00110362
25,67.1857,0.90631,0.84406,1.17083,0.97068,0.93141,0.98393,0.78182,0.84096,0.59392,0.97056,0.00108947,0.00108947,0.00108947
26,69.4617,0.92252,0.79205,1.16074,0.98067,0.97363,0.98715,0.83777,0.66124,0.51796,0.90924,0.00107532,0.00107532,0.00107532
27,72.2071,0.89755,0.82439,1.20538,0.9862,0.97843,0.98928,0.7769,0.83642,0.53989,0.9675,0.00106118,0.00106118,0.00106118
28,74.8006,0.87578,0.78266,1.14326,0.98167,0.96823,0.98214,0.842,0.63209,0.54802,0.92274,0.00104703,0.00104703,0.00104703
29,77.7058,0.97023,0.82471,1.2222,0.96277,0.95552,0.97649,0.7723,0.84015,0.61525,0.98345,0.00103288,0.00103288,0.00103288
30,80.4467,0.94807,0.77265,1.1438,0.99348,0.98236,0.9925,0.79445,0.75783,0.53063,0.96083,0.00101873,0.00101873,0.00101873
31,85.0494,0.89643,0.74942,1.15406,0.98566,0.98876,0.99306,0.84441,0.63835,0.49111,0.93396,0.00100459,0.00100459,0.00100459
32,89.6319,0.9222,0.80743,1.19828,0.96617,0.91464,0.98568,0.74214,0.97603,0.63553,1.06143,0.00099044,0.00099044,0.00099044
33,93.1708,0.89411,0.77841,1.16093,0.98714,0.9317,0.98667,0.80254,0.74842,0.54893,0.9844,0.000976293,0.000976293,0.000976293
34,97.5591,0.87981,0.72756,1.14101,0.94726,0.98274,0.99275,0.82646,0.66683,0.51275,0.94012,0.000962146,0.000962146,0.000962146
35,108.855,0.94836,0.80039,1.18374,0.97026,0.96161,0.99224,0.83497,0.64121,0.51673,0.92092,0.000947999,0.000947999,0.000947999
36,117.853,0.90062,0.79289,1.19235,0.99268,0.98636,0.99481,0.86745,0.53229,0.44507,0.89658,0.000933851,0.000933851,0.000933851
37,126.295,0.88517,0.69576,1.14756,0.98455,0.99015,0.99481,0.826,0.69331,0.44905,0.93157,0.000919704,0.000919704,0.000919704
38,130.467,0.89632,0.73816,1.17606,0.99321,0.99291,0.9946,0.82092,0.7148,0.46913,0.93625,0.000905557,0.000905557,0.000905557
39,138.162,0.88333,0.73756,1.17308,0.98635,0.98871,0.99434,0.84834,0.62062,0.43613,0.90646,0.00089141,0.00089141,0.00089141
40,146.476,0.83295,0.66895,1.12561,0.99561,0.98463,0.98968,0.83093,0.6741,0.43748,0.92547,0.000877263,0.000877263,0.000877263
41,153.096,0.86856,0.74985,1.14293,0.99786,0.98196,0.99068,0.80988,0.7476,0.45528,0.95416,0.000863116,0.000863116,0.000863116
42,157.623,0.83643,0.65109,1.12206,0.99833,0.98536,0.98839,0.87513,0.49944,0.45599,0.88529,0.000848969,0.000848969,0.000848969
43,163.284,0.82344,0.69398,1.14979,0.99548,0.9894,0.98969,0.85721,0.57341,0.42808,0.90158,0.000834822,0.000834822,0.000834822
44,168.211,0.84223,0.67197,1.13987,0.99519,0.9885,0.98952,0.85557,0.59493,0.43598,0.89571,0.000820675,0.000820675,0.000820675
45,175.402,0.7918,0.64258,1.09667,0.99628,0.98768,0.9946,0.87799,0.51836,0.40265,0.87568,0.000806528,0.000806528,0.000806528
46,182.285,0.83366,0.69836,1.15986,0.99456,0.98881,0.99448,0.85922,0.58545,0.41105,0.88684,0.00079238,0.00079238,0.00079238
47,191.279,0.82876,0.65567,1.11212,0.99201,0.96467,0.99129,0.84913,0.6052,0.43555,0.89555,0.000778233,0.000778233,0.000778233
48,197.252,0.82821,0.64787,1.13163,0.98013,0.94406,0.97678,0.83446,0.60249,0.51192,0.89267,0.000764086,0.000764086,0.000764086
49,202.443,0.89921,0.70271,1.22196,1,0.95032,0.9882,0.84448,0.61206,0.4689,0.89621,0.000749939,0.000749939,0.000749939
50,207.228,0.8325,0.6069,1.10841,0.98923,0.98022,0.99453,0.86347,0.54935,0.41193,0.87837,0.000735792,0.000735792,0.000735792
51,211.725,0.79863,0.62813,1.12169,0.99691,0.98392,0.99462,0.87,0.55239,0.41209,0.87981,0.000721645,0.000721645,0.000721645
52,217.518,0.78877,0.60841,1.08474,0.99799,0.98726,0.99398,0.85064,0.60374,0.41467,0.89204,0.000707498,0.000707498,0.000707498
53,224.383,0.81963,0.60923,1.10878,0.99874,0.98724,0.99348,0.85246,0.60443,0.40349,0.89238,0.000693351,0.000693351,0.000693351
54,230.236,0.8132,0.61501,1.13354,0.99825,0.98847,0.99331,0.85832,0.57305,0.38938,0.89855,0.000679204,0.000679204,0.000679204
55,234.037,0.79701,0.61413,1.11577,0.99026,0.99006,0.99411,0.87727,0.51147,0.38086,0.88707,0.000665057,0.000665057,0.000665057
56,242.001,0.81735,0.58748,1.11808,0.9878,0.99001,0.99369,0.8862,0.48865,0.39053,0.87744,0.000650909,0.000650909,0.000650909
57,252.476,0.83227,0.7442,1.19741,0.98846,0.99008,0.99011,0.88145,0.51991,0.38485,0.88212,0.000636762,0.000636762,0.000636762
58,261.331,0.81556,0.61433,1.11069,0.98479,0.96278,0.98643,0.83514,0.65936,0.44806,0.91308,0.000622615,0.000622615,0.000622615
59,276.251,0.79772,0.632,1.12058,0.99093,0.95652,0.98196,0.83992,0.59144,0.4275,0.89886,0.000608468,0.000608468,0.000608468
60,287.046,0.84359,0.62612,1.14571,0.99828,0.94954,0.98314,0.80965,0.69187,0.44004,0.93416,0.000594321,0.000594321,0.000594321
61,292.606,0.79393,0.58739,1.11671,0.99825,0.94986,0.98434,0.82233,0.67343,0.42504,0.92269,0.000580174,0.000580174,0.000580174
62,296.362,0.73057,0.56685,1.06678,0.98969,0.96415,0.98718,0.86892,0.53712,0.40571,0.87403,0.000566027,0.000566027,0.000566027
63,302.162,0.76554,0.55704,1.0997,0.98817,0.97747,0.98874,0.85075,0.59726,0.40257,0.8908,0.00055188,0.00055188,0.00055188
64,315.01,0.77427,0.5765,1.10366,0.9837,0.98324,0.99329,0.88324,0.51993,0.37857,0.87202,0.000537733,0.000537733,0.000537733
65,323.08,0.76304,0.56985,1.11706,0.98705,0.9837,0.99342,0.90357,0.45311,0.3729,0.85473,0.000523586,0.000523586,0.000523586
66,330.844,0.7955,0.54746,1.09157,0.99851,0.97264,0.99282,0.87314,0.54139,0.38849,0.87533,0.000509438,0.000509438,0.000509438
67,342.172,0.77217,0.60053,1.09582,0.99097,0.98176,0.99294,0.89878,0.45784,0.35616,0.85618,0.000495291,0.000495291,0.000495291
68,349.776,0.76447,0.5642,1.09114,0.99628,0.97762,0.99167,0.90187,0.43609,0.35615,0.84535,0.000481144,0.000481144,0.000481144
69,356.692,0.8071,0.60021,1.12805,0.99523,0.95044,0.98372,0.85094,0.6015,0.4057,0.8821,0.000466997,0.000466997,0.000466997
70,365.21,0.78106,0.58315,1.10932,0.99745,0.94165,0.97283,0.84652,0.59177,0.42532,0.8903,0.00045285,0.00045285,0.00045285
71,373.516,0.80475,0.56961,1.10949,0.99766,0.93994,0.96949,0.87249,0.50432,0.41889,0.86848,0.000438703,0.000438703,0.000438703
72,385.105,0.80258,0.60615,1.13003,0.99749,0.9405,0.96132,0.80969,0.68105,0.45831,0.91804,0.000424556,0.000424556,0.000424556
73,392.637,0.87619,0.65269,1.16851,0.99727,0.9405,0.96853,0.76189,0.88207,0.49377,0.9818,0.000410409,0.000410409,0.000410409
