epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4266,1.15857,3.11131,1.39174,0.01653,0.9447,0.33615,0.2282,0.9967,3.04787,0.95667,0.00012861,0.00012861,0.00012861
2,23.4827,0.98821,2.28867,1.22611,0.01641,0.98017,0.35798,0.24901,1.01518,2.72222,0.98472,0.00025807,0.00025807,0.00025807
3,32.0247,0.97759,1.87256,1.21536,0.01634,0.98017,0.44021,0.31771,0.9642,2.56193,0.92206,0.000373383,0.000373383,0.000373383
4,39.5557,1.00613,1.5277,1.25626,0.88026,0.44925,0.71224,0.50734,1.07613,2.21917,1.00984,0.000474549,0.000474549,0.000474549
5,48.298,1.06783,1.27632,1.25547,0.78285,0.59178,0.78242,0.47352,1.28676,1.92124,1.10864,0.000561568,0.000561568,0.000561568
6,58.5699,1.02386,1.12721,1.22398,0.72765,0.58071,0.65587,0.49185,0.92501,1.84041,0.96027,0.00063444,0.00063444,0.00063444
7,68.7383,0.98879,1.1488,1.22919,0.87273,0.59986,0.83231,0.60852,0.96145,1.74175,0.98196,0.000693165,0.000693165,0.000693165
8,77.9258,1.09636,1.17914,1.30504,0.88826,0.57502,0.85225,0.61839,0.96041,1.86772,1.01575,0.000737743,0.000737743,0.000737743
9,87.7424,0.93677,1.02435,1.17885,0.91536,0.68901,0.9182,0.6954,0.93462,1.6438,1.01847,0.000768173,0.000768173,0.000768173
10,97.5647,1.02852,1.08408,1.24765,0.94506,0.8806,0.96222,0.73138,0.94254,1.32471,0.98009,0.000784457,0.000784457,0.000784457
11,121.645,0.84393,1.08095,1.13419,0.96784,0.82702,0.94227,0.76733,0.7728,1.36906,0.93883,0.000721645,0.000721645,0.000721645
12,134.201,0.89788,1.0695,1.16261,0.9783,0.93413,0.95306,0.7043,1.0488,1.02359,1.0517,0.000650909,0.000650909,0.000650909
13,146.234,0.87159,1.05365,1.14359,0.95973,0.94085,0.95944,0.69912,1.04421,0.99467,1.07659,0.000580174,0.000580174,0.000580174
14,160.688,0.82085,0.96115,1.09926,0.95744,0.94722,0.96901,0.73087,0.9567,0.91497,1.0285,0.000509438,0.000509438,0.000509438
15,177.032,0.86408,0.9419,1.14005,0.98962,0.94081,0.9712,0.7793,0.79794,0.74487,0.96359,0.000438703,0.000438703,0.000438703
16,191.666,0.81464,0.94974,1.14092,0.98525,0.93757,0.9544,0.70517,1.04139,0.86919,1.04605,0.000367967,0.000367967,0.000367967
17,204.078,0.88893,0.91323,1.12033,0.98399,0.94462,0.96026,0.6902,1.10976,0.86271,1.08173,0.000297232,0.000297232,0.000297232
18,218.353,0.83886,0.96144,1.11569,0.99286,0.95335,0.9807,0.79664,0.76398,0.67379,0.95203,0.000226497,0.000226497,0.000226497
19,228.953,0.7865,0.86273,1.09703,0.99142,0.9536,0.9822,0.82003,0.69888,0.641,0.92573,0.000155761,0.000155761,0.000155761
20,243.569,0.78208,0.85349,1.09079,0.98764,0.95688,0.97915,0.78998,0.79133,0.65488,0.94994,8.50255e-05,8.50255e-05,8.50255e-05
